,WMA value,OBV Value,VPT Value,Adj Close
872,2854.34,,,
873,2854.22,,,
874,2854.06,,,
875,2853.97,,,
876,2854.02,,,
877,2854.19,,,
878,2854.52,,,
879,2854.97,,,
880,2855.58,,,
881,2856.27,,,
882,2856.97,,,
883,2857.7,,,
884,2858.44,,,
885,2859.2,,,
886,2859.96,,,
887,2860.83,,,
888,2861.83,,,
889,2863.13,,,
890,2864.6,,,
891,2866.21,,,
892,2867.88,,,
893,2869.67,,,
894,2871.48,,,
895,2873.33,,,
896,2875.32,,,
897,2877.29,,,
898,2879.2,,,
899,2881.03,,,
900,2882.76,,,
901,2884.38,,,
902,2885.88,,,
903,2887.33,,,
904,2888.82,,,
905,2890.2,,,
906,2891.4,,,
907,2892.53,,,
908,2893.67,,,
909,2894.85,,,
910,2896.16,,,
911,2897.44,,,
912,2898.68,,,
913,2899.89,,,
914,2901.16,,,
915,2902.49,,,
916,2903.94,,,
917,2905.49,,,
918,2906.95,,,
919,2908.16,,,
920,2909.18,,,
921,2909.99,,,
922,2910.66,,,
923,2911.15,,,
924,2911.48,,,
925,2911.62,,,
926,2911.57,,,
927,2911.48,,,
928,2911.43,,,
929,2911.4,,,
930,2911.51,,,
931,2911.76,,,
932,2912.2,,,
933,2912.7,,,
934,2913.14,,,
935,2913.53,,,
936,2913.96,,,
937,2914.41,,,
938,2914.76,,,
939,2915.01,,,
940,2915.05,,,
941,2915.06,,,
942,2915.08,,,
943,2915.15,,,
944,2915.2,,,
945,2915.2,,,
946,2915.1,,,
947,2914.83,,,
948,2914.48,,,
949,2914.09,,,
950,2913.64,,,
951,2913.19,,,
952,2912.78,,,
953,2912.43,,,
954,2912.13,,,
955,2911.85,,,
956,2911.56,,,
957,2911.23,,,
958,2910.89,,,
959,2910.6,,,
960,2910.32,,,
961,2910.04,,,
962,2909.67,,,
963,2909.3,,,
964,2908.92,,,
965,2908.59,,,
966,2908.27,,,
967,2907.84,,,
968,2907.26,,,
969,2906.5,,,
970,2905.7,,,
971,2904.84,,,
972,2904.0,,,
973,2903.17,,,
974,2902.34,,,
975,2901.63,,,
976,2900.99,,,
977,2900.51,,,
978,2900.08,,,
979,2899.72,,,
980,2899.44,,,
981,2899.24,,,
982,2899.01,,,
983,2898.68,,,
984,2898.25,,,
985,2897.78,,,
986,2897.34,,,
987,2897.0,,,
988,2896.69,,,
989,2896.3,,,
990,2895.88,,,
991,2895.37,,,
992,2894.64,,,
993,2893.82,,,
994,2892.92,,,
995,2891.98,,,
996,2891.0,,,
997,2890.04,,,
998,2889.16,,,
999,2888.38,,,
1000,2887.59,,,
1001,2886.82,,,
1002,2886.1,,,
1003,2885.38,,,
1004,2884.67,,,
1005,2883.87,,,
1006,2882.97,,,
1007,2881.92,,,
1008,2880.83,,,
1009,2879.73,,,
1010,2878.62,,,
1011,2877.48,,,
1012,2876.29,,,
1013,2874.98,,,
1014,2873.48,,,
1015,2871.88,,,
1016,2870.43,,,
1017,2869.06,,,
1018,2867.88,,,
1019,2866.86,,,
1020,2865.89,,,
1021,2864.91,,,
1022,2864.11,,,
1023,2863.35,,,
1024,2862.64,,,
1025,2861.96,,,
1026,2861.38,,,
1027,2860.84,,,
1028,2860.41,,,
1029,2860.07,,,
1030,2859.79,,,
1031,2859.46,,,
1032,2858.97,,,
1033,2858.39,,,
1034,2857.76,,,
1035,2857.07,,,
1036,2856.47,,,
1037,2855.94,,,
1038,2855.46,,,
1039,2854.94,,,
1040,2854.45,,,
1041,2853.98,,,
1042,2853.63,,,
1043,2853.4,,,
1044,2853.49,,,
1045,2853.78,,,
1046,2854.0,,,
1047,2854.1,,,
1048,2854.11,,,
1049,2854.08,,,
1050,2854.13,,,
1051,2854.34,,,
1052,2854.75,,,
1053,2855.25,,,
1054,2855.93,,,
1055,2856.85,,,
1056,2857.85,,,
1057,2858.96,,,
1058,2860.07,,,
1059,2861.27,,,
1060,2862.42,,,
1061,2863.79,,,
1062,2865.52,,,
1063,2867.42,,,
1064,2869.21,,,
1065,2871.08,,,
1066,2872.64,,,
1067,2874.18,,,
1068,2875.76,,,
1069,2877.5,,,
1070,2879.41,,,
1071,2881.63,,,
1072,2883.77,,,
1073,2885.97,,,
1074,2888.16,,,
1075,2890.35,,,
1076,2892.56,,,
1077,2894.79,,,
1078,2896.94,,,
1079,2899.05,,,
1080,2901.07,,,
1081,2903.0,,,
1082,2904.78,,,
1083,2906.46,,,
1084,2907.97,,,
1085,2909.24,,,
1086,2910.33,,,
1087,2911.31,,,
1088,2912.22,,,
1089,2913.0,,,
1090,2913.84,,,
1091,2914.56,,,
1092,2915.1,,,
1093,2915.52,,,
1094,2916.02,,,
1095,2916.48,,,
1096,2917.17,,,
1097,2917.81,,,
1098,2918.4,,,
1099,2918.83,,,
1100,2919.0,,,
1101,2918.81,,,
1102,2918.66,,,
1103,2918.54,,,
1104,2918.45,,,
1105,2918.33,,,
1106,2918.18,,,
1107,2917.99,,,
1108,2917.75,,,
1109,2917.5,,,
1110,2917.24,,,
1111,2916.96,,,
1112,2916.69,,,
1113,2916.43,,,
1114,2916.15,,,
1115,2915.87,,,
1116,2915.67,,,
1117,2915.51,,,
1118,2915.36,,,
1119,2915.17,,,
1120,2914.96,,,
1121,2914.76,,,
1122,2914.57,,,
1123,2914.37,,,
1124,2914.21,,,
1125,2914.01,,,
1126,2913.78,,,
1127,2913.55,,,
1128,2913.22,,,
1129,2912.82,,,
1130,2912.35,,,
1131,2911.88,,,
1132,2911.41,,,
1133,2910.97,,,
1134,2910.55,,,
1135,2910.14,,,
1136,2909.71,,,
1137,2909.34,,,
1138,2908.98,,,
1139,2908.52,,,
1140,2907.98,,,
1141,2907.43,,,
1142,2906.86,,,
1143,2906.3,,,
1144,2905.79,,,
1145,2905.19,,,
1146,2904.59,,,
1147,2904.09,,,
1148,2903.75,,,
1149,2903.52,,,
1150,2903.39,,,
1151,2903.24,,,
1152,2903.11,,,
1153,2903.06,,,
1154,2903.06,,,
1155,2903.18,,,
1156,2903.36,,,
1157,2903.62,,,
1158,2903.93,,,
1159,2904.27,,,
1160,2904.68,,,
1161,2905.08,,,
1162,2905.47,,,
1163,2905.78,,,
1164,2906.06,,,
1165,2906.37,,,
1166,2906.67,,,
1167,2906.9,,,
1168,2907.16,,,
1169,2907.52,,,
1170,2908.0,,,
1171,2908.56,,,
1172,2909.14,,,
1173,2909.7,,,
1174,2910.22,,,
1175,2910.79,,,
1176,2911.2,,,
1177,2911.43,,,
1178,2911.51,,,
1179,2911.49,,,
1180,2911.35,,,
1181,2911.21,,,
1182,2911.03,,,
1183,2910.85,,,
1184,2910.64,,,
1185,2910.34,,,
1186,2910.02,,,
1187,2909.62,,,
1188,2909.11,,,
1189,2908.61,,,
1190,2908.08,,,
1191,2907.55,,,
1192,2907.04,,,
1193,2906.54,,,
1194,2905.97,,,
1195,2905.4,,,
1196,2904.83,,,
1197,2904.24,,,
1198,2903.63,,,
1199,2903.04,,,
1200,2902.47,,,
1201,2901.93,,,
1202,2901.44,,,
1203,2900.94,,,
1204,2900.43,,,
1205,2899.93,,,
1206,2899.5,,,
1207,2899.15,,,
1208,2898.83,,,
1209,2898.49,,,
1210,2898.18,,,
1211,2897.87,,,
1212,2897.54,,,
1213,2897.16,,,
1214,2896.79,,,
1215,2896.43,,,
1216,2896.13,,,
1217,2895.82,,,
1218,2895.55,,,
1219,2895.27,,,
1220,2894.93,,,
1221,2894.54,,,
1222,2894.12,,,
1223,2893.77,,,
1224,2893.53,,,
1225,2893.34,,,
1226,2893.29,,,
1227,2893.36,,,
1228,2893.53,,,
1229,2893.78,,,
1230,2894.06,,,
1231,2894.39,,,
